publication_id,ion,band,instrument,holding,tier,selector,route,treatment,A,n_lines,resolved,reason,perline_artifact
Fe-012,II,VIS,kpno_solar_atlas,solar_kpno_molecfit_corrected,DEEPGRADED,DEEPGRADED,SYNTH,1D-LTE,7.56,8,True,resolved,data/results/band_products/FeII_4200_6910_kpno_solar_atlas_solar_kpno_molecfit_corrected_SYNTH_DEEPGRADED_1D-LTE_lines.csv
Fe-013,II,VIS,kpno_solar_atlas,solar_kpno_molecfit_corrected,DEEPGRADED,DEEPGRADED,SYNTH,ENGINE-A,7.328,2,True,resolved,data/results/band_products/FeII_4200_6910_kpno_solar_atlas_solar_kpno_molecfit_corrected_SYNTH_DEEPGRADED_ENGINE-A_lines.csv
Fe-014,II,VIS,kpno_solar_atlas,solar_kpno_molecfit_corrected,DEEPGRADED,DEEPGRADED,SYNTH,synth-1D-LTE-gerber,7.556,8,True,resolved,data/results/band_products/FeII_4200_6910_kpno_solar_atlas_solar_kpno_molecfit_corrected_SYNTH_DEEPGRADED_synth-1D-LTE-gerber_lines.csv
Fe-015,II,VIS,kpno_solar_atlas,solar_kpno_molecfit_corrected,REFERENCE,REFERENCE,SYNTH,1D-LTE,7.56,8,True,resolved,data/results/band_products/FeII_4200_6910_kpno_solar_atlas_solar_kpno_molecfit_corrected_SYNTH_REFERENCE_1D-LTE_lines.csv
Fe-016,II,VIS,kpno_solar_atlas,solar_kpno_molecfit_corrected,REFERENCE,REFERENCE,SYNTH,ENGINE-A,7.328,2,True,resolved,data/results/band_products/FeII_4200_6910_kpno_solar_atlas_solar_kpno_molecfit_corrected_SYNTH_REFERENCE_ENGINE-A_lines.csv
Fe-017,II,VIS,kpno_solar_atlas,solar_kpno_molecfit_corrected,REFERENCE,REFERENCE,SYNTH,synth-1D-LTE-gerber,7.556,8,True,resolved,data/results/band_products/FeII_4200_6910_kpno_solar_atlas_solar_kpno_molecfit_corrected_SYNTH_REFERENCE_synth-1D-LTE-gerber_lines.csv
Fe-018,II,near-UV,kpno_solar_atlas,solar_kpno_kurucz2005_corrected,DEEPGRADED,DEEPGRADED,SYNTH,1D-LTE,7.617,12,True,resolved,data/results/band_products/FeII_3000_3780_kpno_solar_atlas_solar_kpno_kurucz2005_corrected_SYNTH_DEEPGRADED_1D-LTE_lines.csv
Fe-019,II,near-UV,kpno_solar_atlas,solar_kpno_kurucz2005_corrected,DEEPGRADED,DEEPGRADED,SYNTH,ENGINE-A,7.635,7,True,resolved,data/results/band_products/FeII_3000_3780_kpno_solar_atlas_solar_kpno_kurucz2005_corrected_SYNTH_DEEPGRADED_ENGINE-A_lines.csv
Fe-020,II,near-UV,kpno_solar_atlas,solar_kpno_kurucz2005_corrected,DEEPGRADED,DEEPGRADED,SYNTH,synth-1D-LTE-gerber,7.622,12,True,resolved,data/results/band_products/FeII_3000_3780_kpno_solar_atlas_solar_kpno_kurucz2005_corrected_SYNTH_DEEPGRADED_synth-1D-LTE-gerber_lines.csv
Fe-021,II,near-UV,kpno_solar_atlas,solar_kpno_kurucz2005_corrected,REFERENCE,REFERENCE,SYNTH,1D-LTE,7.617,12,True,resolved,data/results/band_products/FeII_3000_3780_kpno_solar_atlas_solar_kpno_kurucz2005_corrected_SYNTH_REFERENCE_1D-LTE_lines.csv
Fe-022,II,near-UV,kpno_solar_atlas,solar_kpno_kurucz2005_corrected,REFERENCE,REFERENCE,SYNTH,ENGINE-A,7.635,7,True,resolved,data/results/band_products/FeII_3000_3780_kpno_solar_atlas_solar_kpno_kurucz2005_corrected_SYNTH_REFERENCE_ENGINE-A_lines.csv
Fe-023,II,near-UV,kpno_solar_atlas,solar_kpno_kurucz2005_corrected,REFERENCE,REFERENCE,SYNTH,synth-1D-LTE-gerber,7.621,12,True,resolved,data/results/band_products/FeII_3000_3780_kpno_solar_atlas_solar_kpno_kurucz2005_corrected_SYNTH_REFERENCE_synth-1D-LTE-gerber_lines.csv
Fe-024,II,near-UV,kpno_solar_atlas,solar_kpno_molecfit_corrected,DEEPGRADED,DEEPGRADED,SYNTH,1D-LTE,7.402,12,True,resolved,data/results/band_products/FeII_3000_3780_kpno_solar_atlas_solar_kpno_molecfit_corrected_SYNTH_DEEPGRADED_1D-LTE_lines.csv
Fe-025,II,near-UV,kpno_solar_atlas,solar_kpno_molecfit_corrected,DEEPGRADED,DEEPGRADED,SYNTH,ENGINE-A,7.404,7,True,resolved,data/results/band_products/FeII_3000_3780_kpno_solar_atlas_solar_kpno_molecfit_corrected_SYNTH_DEEPGRADED_ENGINE-A_lines.csv
Fe-026,II,near-UV,kpno_solar_atlas,solar_kpno_molecfit_corrected,DEEPGRADED,DEEPGRADED,SYNTH,synth-1D-LTE-gerber,7.422,12,True,resolved,data/results/band_products/FeII_3000_3780_kpno_solar_atlas_solar_kpno_molecfit_corrected_SYNTH_DEEPGRADED_synth-1D-LTE-gerber_lines.csv
Fe-027,II,near-UV,kpno_solar_atlas,solar_kpno_molecfit_corrected,REFERENCE,REFERENCE,SYNTH,1D-LTE,7.402,12,True,resolved,data/results/band_products/FeII_3000_3780_kpno_solar_atlas_solar_kpno_molecfit_corrected_SYNTH_REFERENCE_1D-LTE_lines.csv
Fe-028,II,near-UV,kpno_solar_atlas,solar_kpno_molecfit_corrected,REFERENCE,REFERENCE,SYNTH,ENGINE-A,7.404,7,True,resolved,data/results/band_products/FeII_3000_3780_kpno_solar_atlas_solar_kpno_molecfit_corrected_SYNTH_REFERENCE_ENGINE-A_lines.csv
Fe-029,II,near-UV,kpno_solar_atlas,solar_kpno_molecfit_corrected,REFERENCE,REFERENCE,SYNTH,synth-1D-LTE-gerber,7.415,12,True,resolved,data/results/band_products/FeII_3000_3780_kpno_solar_atlas_solar_kpno_molecfit_corrected_SYNTH_REFERENCE_synth-1D-LTE-gerber_lines.csv
Fe-030,I,H,crires_plus,solar_crires_plus_h_rya1094,GRADED,GRADED,SYNTH,1D-LTE,7.552,20,True,resolved,data/results/band_products/FeI_15009_17491_crires_plus_solar_crires_plus_h_rya1094_SYNTH_GRADED_1D-LTE_lines.csv
Fe-031,I,H,crires_plus,solar_crires_plus_h_rya1094,GRADED,GRADED,SYNTH,ENGINE-B-NLTE,7.549,9,True,resolved,data/results/band_products/FeI_15009_17491_crires_plus_solar_crires_plus_h_rya1094_SYNTH_GRADED_ENGINE-B-NLTE_lines.csv
Fe-032,I,H,crires_plus,solar_crires_plus_h_rya1094,GRADED,GRADED,SYNTH,synth-1D-LTE-gerber,7.523,19,True,resolved,data/results/band_products/FeI_15009_17491_crires_plus_solar_crires_plus_h_rya1094_SYNTH_GRADED_synth-1D-LTE-gerber_lines.csv
Fe-033,I,H,crires_plus,solar_crires_plus_h_rya1094,REFERENCE,REFERENCE,SYNTH,1D-LTE,7.552,20,True,resolved,data/results/band_products/FeI_15009_17491_crires_plus_solar_crires_plus_h_rya1094_SYNTH_REFERENCE_1D-LTE_lines.csv
Fe-034,I,H,crires_plus,solar_crires_plus_h_rya1094,REFERENCE,REFERENCE,SYNTH,ENGINE-B-NLTE,7.549,9,True,resolved,data/results/band_products/FeI_15009_17491_crires_plus_solar_crires_plus_h_rya1094_SYNTH_REFERENCE_ENGINE-B-NLTE_lines.csv
Fe-035,I,H,crires_plus,solar_crires_plus_h_rya1094,REFERENCE,REFERENCE,SYNTH,synth-1D-LTE-gerber,7.518,19,True,resolved,data/results/band_products/FeI_15009_17491_crires_plus_solar_crires_plus_h_rya1094_SYNTH_REFERENCE_synth-1D-LTE-gerber_lines.csv
Fe-036,I,NIR,crires_plus,solar_crires_plus_y_wide_rya1054,GRADED,GRADED,SYNTH,1D-LTE,7.551,5,True,resolved,data/results/band_products/FeI_9801_10794_crires_plus_solar_crires_plus_y_wide_rya1054_SYNTH_GRADED_1D-LTE_lines.csv
Fe-037,I,NIR,crires_plus,solar_crires_plus_y_wide_rya1054,GRADED,GRADED,SYNTH,ENGINE-A,7.492,2,True,resolved,data/results/band_products/FeI_9801_10794_crires_plus_solar_crires_plus_y_wide_rya1054_SYNTH_GRADED_ENGINE-A_lines.csv
Fe-038,I,NIR,crires_plus,solar_crires_plus_y_wide_rya1054,GRADED,GRADED,SYNTH,synth-1D-LTE-gerber,7.553,5,True,resolved,data/results/band_products/FeI_9801_10794_crires_plus_solar_crires_plus_y_wide_rya1054_SYNTH_GRADED_synth-1D-LTE-gerber_lines.csv
Fe-039,I,NIR,crires_plus,solar_crires_plus_y_wide_rya1054,REFERENCE,REFERENCE,SYNTH,1D-LTE,7.546,5,True,resolved,data/results/band_products/FeI_9801_10794_crires_plus_solar_crires_plus_y_wide_rya1054_SYNTH_REFERENCE_1D-LTE_lines.csv
Fe-040,I,NIR,crires_plus,solar_crires_plus_y_wide_rya1054,REFERENCE,REFERENCE,SYNTH,ENGINE-A,7.486,2,True,resolved,data/results/band_products/FeI_9801_10794_crires_plus_solar_crires_plus_y_wide_rya1054_SYNTH_REFERENCE_ENGINE-A_lines.csv
Fe-041,I,NIR,crires_plus,solar_crires_plus_y_wide_rya1054,REFERENCE,REFERENCE,SYNTH,synth-1D-LTE-gerber,7.554,5,True,resolved,data/results/band_products/FeI_9801_10794_crires_plus_solar_crires_plus_y_wide_rya1054_SYNTH_REFERENCE_synth-1D-LTE-gerber_lines.csv
Fe-042,I,NIR,iag_fts_solar_atlas,solar_iag,GRADED,GRADED,SYNTH,1D-LTE,7.546,25,False,"n_lines MISMATCH: product says 25, artifact(s) have 26",
Fe-043,I,NIR,iag_fts_solar_atlas,solar_iag,GRADED,GRADED,SYNTH,ENGINE-A,7.599,6,False,"n_lines MISMATCH: product says 6, artifact(s) have 7",
Fe-044,I,NIR,iag_fts_solar_atlas,solar_iag,GRADED,GRADED,SYNTH,synth-1D-LTE-gerber,7.549,22,True,resolved,data/results/band_products/FeI_9199_11081_iag_fts_solar_atlas_solar_iag_SYNTH_GRADED_synth-1D-LTE-gerber_lines.csv
Fe-045,I,NIR,iag_fts_solar_atlas,solar_iag,REFERENCE,REFERENCE,SYNTH,1D-LTE,7.554,22,True,resolved,data/results/band_products/FeI_9199_11081_iag_fts_solar_atlas_solar_iag_SYNTH_REFERENCE_1D-LTE_lines.csv
Fe-046,I,NIR,iag_fts_solar_atlas,solar_iag,REFERENCE,REFERENCE,SYNTH,ENGINE-A,7.599,6,True,resolved,data/results/band_products/FeI_9199_11081_iag_fts_solar_atlas_solar_iag_SYNTH_REFERENCE_ENGINE-A_lines.csv
Fe-047,I,NIR,iag_fts_solar_atlas,solar_iag,REFERENCE,REFERENCE,SYNTH,synth-1D-LTE-gerber,7.549,22,True,resolved,data/results/band_products/FeI_9199_11081_iag_fts_solar_atlas_solar_iag_SYNTH_REFERENCE_synth-1D-LTE-gerber_lines.csv
Fe-048,I,NIR,kpno_solar_atlas,solar_kpno_kurucz2005_corrected,GRADED,GRADED,SYNTH,synth-1D-LTE-gerber,7.515,23,True,resolved,data/results/band_products/FeI_9199_10008_kpno_solar_atlas_solar_kpno_kurucz2005_corrected_SYNTH_GRADED_synth-1D-LTE-gerber_lines.csv
Fe-049,I,NIR,kpno_solar_atlas,solar_kpno_kurucz2005_corrected,REFERENCE,REFERENCE,SYNTH,1D-LTE,7.519,23,True,resolved,data/results/band_products/FeI_9199_10008_kpno_solar_atlas_solar_kpno_kurucz2005_corrected_SYNTH_REFERENCE_1D-LTE_lines.csv
Fe-050,I,NIR,kpno_solar_atlas,solar_kpno_kurucz2005_corrected,REFERENCE,REFERENCE,SYNTH,ENGINE-A,7.39,6,True,resolved,data/results/band_products/FeI_9199_10008_kpno_solar_atlas_solar_kpno_kurucz2005_corrected_SYNTH_REFERENCE_ENGINE-A_lines.csv
Fe-051,I,NIR,kpno_solar_atlas,solar_kpno_kurucz2005_corrected,REFERENCE,REFERENCE,SYNTH,synth-1D-LTE-gerber,7.51,23,True,resolved,data/results/band_products/FeI_9199_10008_kpno_solar_atlas_solar_kpno_kurucz2005_corrected_SYNTH_REFERENCE_synth-1D-LTE-gerber_lines.csv
Fe-052,I,NIR,kpno_solar_atlas,solar_kpno_molecfit_corrected,GRADED,GRADED,SYNTH,1D-LTE,7.607,23,True,resolved,data/results/band_products/FeI_9199_12976_kpno_solar_atlas_solar_kpno_molecfit_corrected_SYNTH_GRADED_1D-LTE_lines.csv
Fe-053,I,NIR,kpno_solar_atlas,solar_kpno_molecfit_corrected,GRADED,GRADED,SYNTH,ENGINE-A,7.488,6,True,resolved,data/results/band_products/FeI_9199_12976_kpno_solar_atlas_solar_kpno_molecfit_corrected_SYNTH_GRADED_ENGINE-A_lines.csv
Fe-054,I,NIR,kpno_solar_atlas,solar_kpno_molecfit_corrected,GRADED,GRADED,SYNTH,synth-1D-LTE-gerber,7.601,23,True,resolved,data/results/band_products/FeI_9199_12976_kpno_solar_atlas_solar_kpno_molecfit_corrected_SYNTH_GRADED_synth-1D-LTE-gerber_lines.csv
Fe-055,I,NIR,kpno_solar_atlas,solar_kpno_molecfit_corrected,REFERENCE,REFERENCE,SYNTH,1D-LTE,7.607,23,True,resolved,data/results/band_products/FeI_9199_12976_kpno_solar_atlas_solar_kpno_molecfit_corrected_SYNTH_REFERENCE_1D-LTE_lines.csv
Fe-056,I,NIR,kpno_solar_atlas,solar_kpno_molecfit_corrected,REFERENCE,REFERENCE,SYNTH,ENGINE-A,7.487,6,True,resolved,data/results/band_products/FeI_9199_12976_kpno_solar_atlas_solar_kpno_molecfit_corrected_SYNTH_REFERENCE_ENGINE-A_lines.csv
Fe-057,I,NIR,kpno_solar_atlas,solar_kpno_molecfit_corrected,REFERENCE,REFERENCE,SYNTH,synth-1D-LTE-gerber,7.601,23,True,resolved,data/results/band_products/FeI_9199_12976_kpno_solar_atlas_solar_kpno_molecfit_corrected_SYNTH_REFERENCE_synth-1D-LTE-gerber_lines.csv
Fe-058,I,VIS,harps,solar_harps_molecfit_corrected,ALL,ASPLUND_AGSS21,SYNTH,ENGINE-A-3DNLTE,7.4771,21,True,resolved from product provenance,data/results/rya1106/harps_molecfit/asplund_lines_per_line.csv
Fe-059,I,VIS,harps,solar_harps_molecfit_corrected,DEEPGRADED,DEEPGRADED-LOCALRENORM,SYNTH,1D-LTE,7.339,109,False,no artifact on disk (band_products is gitignored; only force-added files are present),
Fe-060,I,VIS,harps,solar_harps_molecfit_corrected,DEEPGRADED,DEEPGRADED-LOCALRENORM,SYNTH,ENGINE-A,7.35,105,False,no artifact on disk (band_products is gitignored; only force-added files are present),
Fe-061,I,VIS,harps,solar_harps_molecfit_corrected,DEEPGRADED,DEEPGRADED,SYNTH,1D-LTE,7.535,109,True,resolved,data/results/band_products/FeI_4200_6910_harps_solar_harps_molecfit_corrected_SYNTH_DEEPGRADED_1D-LTE_lines.csv
Fe-062,I,VIS,harps,solar_harps_molecfit_corrected,DEEPGRADED,DEEPGRADED,SYNTH,ENGINE-A,7.554,105,False,no artifact on disk (band_products is gitignored; only force-added files are present),
Fe-063,I,VIS,harps,solar_harps_molecfit_corrected,GRADED,GRADED,PROFILEFIT,1D-LTE,7.498,6,False,no artifact on disk (band_products is gitignored; only force-added files are present),
Fe-064,I,VIS,harps,solar_harps_molecfit_corrected,GRADED,GRADED,PROFILEFIT,ENGINE-A,7.433,5,False,no artifact on disk (band_products is gitignored; only force-added files are present),
Fe-065,I,VIS,harps,solar_harps_molecfit_corrected,GRADED,GRADED,PROFILEFIT,ENGINE-B,7.431,5,False,no artifact on disk (band_products is gitignored; only force-added files are present),
Fe-066,I,VIS,harps,solar_harps_molecfit_corrected,GRADED,GRADED,SYNTH,1D-LTE,7.511,67,True,resolved,data/results/band_products/FeI_4200_6908_harps_solar_harps_molecfit_corrected_SYNTH_GRADED_1D-LTE_lines.csv
Fe-067,I,VIS,harps,solar_harps_molecfit_corrected,GRADED,GRADED,SYNTH,ENGINE-A-3DNLTE,7.5124,50,True,resolved from product provenance,data/results/rya1095/harps/rya817_3dnlte_per_line.csv
Fe-068,I,VIS,harps,solar_harps_molecfit_corrected,GRADED,GRADED,SYNTH,ENGINE-A,7.504,61,True,resolved,data/results/band_products/FeI_4200_6908_harps_solar_harps_molecfit_corrected_SYNTH_GRADED_ENGINE-A_lines.csv
Fe-069,I,VIS,harps,solar_harps_molecfit_corrected,GRADED,GRADED,SYNTH,ENGINE-B-NLTE,7.545,67,True,resolved,data/results/band_products/FeI_4200_6908_harps_solar_harps_molecfit_corrected_SYNTH_GRADED_ENGINE-B-NLTE_lines.csv
Fe-070,I,VIS,harps,solar_harps_molecfit_corrected,GRADED,GRADED,SYNTH,synth-1D-LTE-gerber,7.509,67,True,resolved,data/results/band_products/FeI_4200_6908_harps_solar_harps_molecfit_corrected_SYNTH_GRADED_synth-1D-LTE-gerber_lines.csv
Fe-071,I,VIS,harps,solar_harps_molecfit_corrected,REFERENCE,REFERENCE,SYNTH,1D-LTE,7.514,174,True,resolved,data/results/band_products/FeI_4200_6908_harps_solar_harps_molecfit_corrected_SYNTH_REFERENCE_1D-LTE_lines.csv
Fe-072,I,VIS,harps,solar_harps_molecfit_corrected,REFERENCE,REFERENCE,SYNTH,ENGINE-A-3DNLTE,7.4996,100,False,per-line count or median does not reproduce the live product,
Fe-073,I,VIS,harps,solar_harps_molecfit_corrected,REFERENCE,REFERENCE,SYNTH,ENGINE-A,7.525,164,True,resolved,data/results/band_products/FeI_4200_6908_harps_solar_harps_molecfit_corrected_SYNTH_REFERENCE_ENGINE-A_lines.csv
Fe-074,I,VIS,harps,solar_harps_molecfit_corrected,REFERENCE,REFERENCE,SYNTH,ENGINE-B-NLTE,7.549,175,True,resolved,data/results/band_products/FeI_4200_6908_harps_solar_harps_molecfit_corrected_SYNTH_REFERENCE_ENGINE-B-NLTE_lines.csv
Fe-075,I,VIS,harps,solar_harps_molecfit_corrected,REFERENCE,REFERENCE,SYNTH,synth-1D-LTE-gerber,7.521,175,True,resolved,data/results/band_products/FeI_4200_6908_harps_solar_harps_molecfit_corrected_SYNTH_REFERENCE_synth-1D-LTE-gerber_lines.csv
Fe-076,I,VIS,iag_fts_solar_atlas,solar_iag,ALL,ASPLUND_AGSS21,SYNTH,ENGINE-A-3DNLTE,7.5039,21,True,resolved from product provenance,data/results/rya1106/iag/asplund_lines_per_line.csv
Fe-077,I,VIS,iag_fts_solar_atlas,solar_iag,DEEPGRADED,DEEPGRADED,SYNTH,1D-LTE,7.416,41,False,no artifact on disk (band_products is gitignored; only force-added files are present),
Fe-078,I,VIS,iag_fts_solar_atlas,solar_iag,DEEPGRADED,DEEPGRADED,SYNTH,ENGINE-A,7.422,37,False,no artifact on disk (band_products is gitignored; only force-added files are present),
Fe-079,I,VIS,iag_fts_solar_atlas,solar_iag,GRADED,GRADED,PROFILEFIT,1D-LTE,7.498,5,False,no artifact on disk (band_products is gitignored; only force-added files are present),
Fe-080,I,VIS,iag_fts_solar_atlas,solar_iag,GRADED,GRADED,PROFILEFIT,ENGINE-A,7.481,4,False,no artifact on disk (band_products is gitignored; only force-added files are present),
Fe-081,I,VIS,iag_fts_solar_atlas,solar_iag,GRADED,GRADED,SYNTH,1D-LTE,7.494,43,True,resolved,data/results/band_products/FeI_5002_6910_iag_fts_solar_atlas_solar_iag_SYNTH_GRADED_1D-LTE_lines.csv
Fe-082,I,VIS,iag_fts_solar_atlas,solar_iag,GRADED,GRADED,SYNTH,ENGINE-A-3DNLTE,7.5429,39,True,resolved from product provenance,data/results/rya1095/iag/rya817_3dnlte_per_line.csv
Fe-083,I,VIS,iag_fts_solar_atlas,solar_iag,GRADED,GRADED,SYNTH,ENGINE-A,7.48,37,True,resolved,data/results/band_products/FeI_5002_6910_iag_fts_solar_atlas_solar_iag_SYNTH_GRADED_ENGINE-A_lines.csv
Fe-084,I,VIS,iag_fts_solar_atlas,solar_iag,GRADED,GRADED,SYNTH,ENGINE-B-NLTE,7.549,43,True,resolved,data/results/band_products/FeI_5002_6910_iag_fts_solar_atlas_solar_iag_SYNTH_GRADED_ENGINE-B-NLTE_lines.csv
Fe-085,I,VIS,iag_fts_solar_atlas,solar_iag,GRADED,GRADED,SYNTH,synth-1D-LTE-gerber,7.492,43,True,resolved,data/results/band_products/FeI_5002_6910_iag_fts_solar_atlas_solar_iag_SYNTH_GRADED_synth-1D-LTE-gerber_lines.csv
Fe-086,I,VIS,iag_fts_solar_atlas,solar_iag,REFERENCE,REFERENCE,SYNTH,1D-LTE,7.463,84,True,resolved,data/results/band_products/FeI_5002_6910_iag_fts_solar_atlas_solar_iag_SYNTH_REFERENCE_1D-LTE_lines.csv
Fe-087,I,VIS,iag_fts_solar_atlas,solar_iag,REFERENCE,REFERENCE,SYNTH,ENGINE-A-3DNLTE,7.5156,78,True,resolved from product provenance,data/results/rya1213/3dnlte_iag/rya817_3dnlte_per_line.csv
Fe-088,I,VIS,iag_fts_solar_atlas,solar_iag,REFERENCE,REFERENCE,SYNTH,ENGINE-A,7.455,74,True,resolved,data/results/band_products/FeI_5002_6910_iag_fts_solar_atlas_solar_iag_SYNTH_REFERENCE_ENGINE-A_lines.csv
Fe-089,I,VIS,iag_fts_solar_atlas,solar_iag,REFERENCE,REFERENCE,SYNTH,ENGINE-B-NLTE,7.517,84,True,resolved,data/results/band_products/FeI_5002_6910_iag_fts_solar_atlas_solar_iag_SYNTH_REFERENCE_ENGINE-B-NLTE_lines.csv
Fe-090,I,VIS,iag_fts_solar_atlas,solar_iag,REFERENCE,REFERENCE,SYNTH,synth-1D-LTE-gerber,7.469,84,True,resolved,data/results/band_products/FeI_5002_6910_iag_fts_solar_atlas_solar_iag_SYNTH_REFERENCE_synth-1D-LTE-gerber_lines.csv
Fe-091,I,VIS,kpno_solar_atlas,solar_kpno_kurucz2005_corrected,ALL,ASPLUND_AGSS21,SYNTH,ENGINE-A-3DNLTE,7.4713,21,True,resolved from product provenance,data/results/rya1106/kpno_kurucz2005/asplund_lines_per_line.csv
Fe-092,I,VIS,kpno_solar_atlas,solar_kpno_kurucz2005_corrected,DEEPGRADED,DEEPGRADED,SYNTH,1D-LTE,7.421,108,False,no artifact on disk (band_products is gitignored; only force-added files are present),
Fe-093,I,VIS,kpno_solar_atlas,solar_kpno_kurucz2005_corrected,DEEPGRADED,DEEPGRADED,SYNTH,ENGINE-A,7.431,104,False,no artifact on disk (band_products is gitignored; only force-added files are present),
Fe-094,I,VIS,kpno_solar_atlas,solar_kpno_kurucz2005_corrected,GRADED,GRADED,PROFILEFIT,1D-LTE,7.445,13,False,no artifact on disk (band_products is gitignored; only force-added files are present),
Fe-095,I,VIS,kpno_solar_atlas,solar_kpno_kurucz2005_corrected,GRADED,GRADED,PROFILEFIT,ENGINE-A,7.455,12,False,no artifact on disk (band_products is gitignored; only force-added files are present),
Fe-096,I,VIS,kpno_solar_atlas,solar_kpno_kurucz2005_corrected,GRADED,GRADED,PROFILEFIT,ENGINE-B,7.479,9,False,no artifact on disk (band_products is gitignored; only force-added files are present),
Fe-097,I,VIS,kpno_solar_atlas,solar_kpno_kurucz2005_corrected,GRADED,GRADED,SYNTH,1D-LTE,7.442,67,True,resolved,data/results/band_products/FeI_4200_6910_kpno_solar_atlas_solar_kpno_kurucz2005_corrected_SYNTH_GRADED_1D-LTE_lines.csv
Fe-098,I,VIS,kpno_solar_atlas,solar_kpno_kurucz2005_corrected,GRADED,GRADED,SYNTH,ENGINE-A-3DNLTE,7.5046,50,True,resolved from product provenance,data/results/rya1095/kurucz2005/rya817_3dnlte_per_line.csv
Fe-099,I,VIS,kpno_solar_atlas,solar_kpno_kurucz2005_corrected,GRADED,GRADED,SYNTH,ENGINE-A,7.448,61,True,resolved,data/results/band_products/FeI_4200_6910_kpno_solar_atlas_solar_kpno_kurucz2005_corrected_SYNTH_GRADED_ENGINE-A_lines.csv
Fe-100,I,VIS,kpno_solar_atlas,solar_kpno_kurucz2005_corrected,GRADED,GRADED,SYNTH,ENGINE-B-NLTE,7.488,67,True,resolved,data/results/band_products/FeI_4200_6910_kpno_solar_atlas_solar_kpno_kurucz2005_corrected_SYNTH_GRADED_ENGINE-B-NLTE_lines.csv
