# RYA-489 Section 6 replication-grade per-line data product
# Every value below is PROJECTED from a committed artifact; this
# file measures nothing. Regenerate with the generator named below.
# star: solar
# element: Fe
# Teff: 5772.0
# log_g: 4.438
# Fe_H: 0.0
# xi_microturb: 1.0
# params_source: GBS: Heiter+2015 (Teff/logg), Jofré+2014 ([Fe/H], ξ)
# reference_stack: py3.12 + numpy 2.x (RYA-517 reference stack)
# damping_source: synthesis
# replication_grade: yes
# gold_version: Fe_I=v5
# commit_sha: 5e22b3d06f6c8899d683b187d52664e6a0519e64
# input_commit: 5e22b3d06f6c8899d683b187d52664e6a0519e64
# litscan_anchor: best_external Amarsi et al. 2021 (A&A 653, A141) sigma_ext 0.04
# generated_utc: 2026-09-24T19:24:31+00:00
# generator_script: scripts/generate_perline_product.py
# invocation: ISPEC_DIR=/mnt/codex-data/engines/ispec_src ~/venv_rya1103/bin/python scripts/generate_perline_product.py --star solar --element Fe --damping-source synthesis   # Sirius: the GES damping needs iSpec
# sources: damping_source=synthesis; replication_grade=yes; linelist=linelist_solar.csv; canonical_gf=canonical_gf.csv; problem_children=problem_children.csv
# discovery: FEED-DRIVEN (RYA-1229): every published product in data/products/solar/Fe.json, resolved to its own per-line artifact through `provenance.copied_to` and gated on n_lines value-equality
# products_published: 160
# products_with_perline_evidence: 139
# products_unresolved: 21
#
# appendix_species: Fe II
# website_export: species-specific subset; source rows are unchanged
element,ion,wavelength_air_A,excitation_potential_eV,log_gf,gf_source,gf_grade,gf_sigma_dex,damping_rad,damping_stark,damping_vdW,damping_form,hfs_isotope_note,band,holding,tier,selector,route,treatment,instrument,arm,method,ew_mA,reduced_ew,red_chi2,sigma_A_dex,sigma_A_basis,engine,scale,A_X_line,status,reason_code,reason_note
Fe,II,4385.377,2.778,-2.64,PRIMARY LAB DenHartog2019,ungraded,,8.56,-6.54,186.296,ABO packed sigma.alpha,HFS components in canonical_gf: 1,VIS,solar_harps_molecfit_corrected,DEEPGRADED,DEEPGRADED,SYNTH,ENGINE-A,harps,VIS,ew_integration,,,167.871,,"no chi2 surface on this route — EW inversion, see ew_mA for the measured quantity",ENGINE-A,1D-LTE,,excluded,DERIVER_EXCLUDED,"ENGINE-A-NOT-SERVED: the registered source returns no usable delta_nlte for this line (absent, nan, or a placeholder zero). Reduced coverage, not a failed correction."
Fe,II,4416.819,2.778,-2.57,PRIMARY LAB DenHartog2019,ungraded,,8.56,-6.54,186.296,ABO packed sigma.alpha,HFS components in canonical_gf: 1,VIS,solar_harps_molecfit_corrected,DEEPGRADED,DEEPGRADED,SYNTH,ENGINE-A,harps,VIS,ew_integration,,,65.47,,"no chi2 surface on this route — EW inversion, see ew_mA for the measured quantity",ENGINE-A,1D-LTE,,excluded,DERIVER_EXCLUDED,"ENGINE-A-NOT-SERVED: the registered source returns no usable delta_nlte for this line (absent, nan, or a placeholder zero). Reduced coverage, not a failed correction."
Fe,II,4508.28,2.856,-2.42,PRIMARY LAB DenHartog2019,ungraded,,8.56,-6.53,187.301,ABO packed sigma.alpha,HFS components in canonical_gf: 1,VIS,solar_harps_molecfit_corrected,DEEPGRADED,DEEPGRADED,SYNTH,ENGINE-A,harps,VIS,ew_integration,,,66.6,,"no chi2 surface on this route — EW inversion, see ew_mA for the measured quantity",ENGINE-A,1D-LTE,,excluded,DERIVER_EXCLUDED,"ENGINE-A-NOT-SERVED: the registered source returns no usable delta_nlte for this line (absent, nan, or a placeholder zero). Reduced coverage, not a failed correction."
Fe,II,4522.628,2.844,-2.29,PRIMARY LAB DenHartog2019,ungraded,,8.56,-6.53,186.3,ABO packed sigma.alpha,HFS components in canonical_gf: 1,VIS,solar_harps_molecfit_corrected,DEEPGRADED,DEEPGRADED,SYNTH,ENGINE-A,harps,VIS,ew_integration,,,89.709,,"no chi2 surface on this route — EW inversion, see ew_mA for the measured quantity",ENGINE-A,1D-LTE,,excluded,DERIVER_EXCLUDED,"ENGINE-A-NOT-SERVED: the registered source returns no usable delta_nlte for this line (absent, nan, or a placeholder zero). Reduced coverage, not a failed correction."
Fe,II,4549.466,2.828,-1.92,PRIMARY LAB DenHartog2019,ungraded,,8.56,-6.53,186.299,ABO packed sigma.alpha,HFS components in canonical_gf: 1,VIS,solar_harps_molecfit_corrected,DEEPGRADED,DEEPGRADED,SYNTH,ENGINE-A,harps,VIS,ew_integration,,,97.358,,"no chi2 surface on this route — EW inversion, see ew_mA for the measured quantity",ENGINE-A,1D-LTE,,excluded,DERIVER_EXCLUDED,"ENGINE-A-NOT-SERVED: the registered source returns no usable delta_nlte for this line (absent, nan, or a placeholder zero). Reduced coverage, not a failed correction."
Fe,II,4583.829,2.807,-1.94,PRIMARY LAB DenHartog2019,ungraded,,8.56,-6.53,185.307,ABO packed sigma.alpha,HFS components in canonical_gf: 1,VIS,solar_harps_molecfit_corrected,DEEPGRADED,DEEPGRADED,SYNTH,ENGINE-A,harps,VIS,ew_integration,,,92.651,,"no chi2 surface on this route — EW inversion, see ew_mA for the measured quantity",ENGINE-A,1D-LTE,7.444999999999999,in_aggregate,,
Fe,II,4233.162,2.583,-2.02,PRIMARY LAB DenHartog2019,ungraded,,8.56,-6.54,186.309,ABO packed sigma.alpha,HFS components in canonical_gf: 1,VIS,solar_harps_molecfit_corrected,DEEPGRADED,DEEPGRADED,SYNTH,synth-1D-LTE-gerber,harps,VIS,synthesis_fit,,,123.014,0.0566348658129711,"chi2 curvature at the minimum, rescaled to red_chi2==1 (RYA-847/848)",synth-1D-LTE-gerber,1D-LTE,7.641,in_aggregate,,
Fe,II,4351.762,2.704,-1.95,PRIMARY LAB DenHartog2019,ungraded,,8.56,-6.54,186.302,ABO packed sigma.alpha,HFS components in canonical_gf: 1,VIS,solar_harps_molecfit_corrected,DEEPGRADED,DEEPGRADED,SYNTH,synth-1D-LTE-gerber,harps,VIS,synthesis_fit,,,98.073,0.1127861884166918,"chi2 curvature at the minimum, rescaled to red_chi2==1 (RYA-847/848)",synth-1D-LTE-gerber,1D-LTE,7.2,in_aggregate,,
Fe,II,4385.377,2.778,-2.64,PRIMARY LAB DenHartog2019,ungraded,,8.56,-6.54,186.296,ABO packed sigma.alpha,HFS components in canonical_gf: 1,VIS,solar_harps_molecfit_corrected,DEEPGRADED,DEEPGRADED,SYNTH,synth-1D-LTE-gerber,harps,VIS,synthesis_fit,,,169.922,0.0689941101466405,"chi2 curvature at the minimum, rescaled to red_chi2==1 (RYA-847/848)",synth-1D-LTE-gerber,1D-LTE,8.64,in_aggregate,,
Fe,II,4416.819,2.778,-2.57,PRIMARY LAB DenHartog2019,ungraded,,8.56,-6.54,186.296,ABO packed sigma.alpha,HFS components in canonical_gf: 1,VIS,solar_harps_molecfit_corrected,DEEPGRADED,DEEPGRADED,SYNTH,synth-1D-LTE-gerber,harps,VIS,synthesis_fit,,,68.332,0.0585534911600166,"chi2 curvature at the minimum, rescaled to red_chi2==1 (RYA-847/848)",synth-1D-LTE-gerber,1D-LTE,7.961,in_aggregate,,
Fe,II,4508.28,2.856,-2.42,PRIMARY LAB DenHartog2019,ungraded,,8.56,-6.53,187.301,ABO packed sigma.alpha,HFS components in canonical_gf: 1,VIS,solar_harps_molecfit_corrected,DEEPGRADED,DEEPGRADED,SYNTH,synth-1D-LTE-gerber,harps,VIS,synthesis_fit,,,66.798,0.0684665223579693,"chi2 curvature at the minimum, rescaled to red_chi2==1 (RYA-847/848)",synth-1D-LTE-gerber,1D-LTE,7.89,in_aggregate,,
Fe,II,4522.628,2.844,-2.29,PRIMARY LAB DenHartog2019,ungraded,,8.56,-6.53,186.3,ABO packed sigma.alpha,HFS components in canonical_gf: 1,VIS,solar_harps_molecfit_corrected,DEEPGRADED,DEEPGRADED,SYNTH,synth-1D-LTE-gerber,harps,VIS,synthesis_fit,,,90.002,0.1325969849446371,"chi2 curvature at the minimum, rescaled to red_chi2==1 (RYA-847/848)",synth-1D-LTE-gerber,1D-LTE,8.367,in_aggregate,,
Fe,II,4549.466,2.828,-1.92,PRIMARY LAB DenHartog2019,ungraded,,8.56,-6.53,186.299,ABO packed sigma.alpha,HFS components in canonical_gf: 1,VIS,solar_harps_molecfit_corrected,DEEPGRADED,DEEPGRADED,SYNTH,synth-1D-LTE-gerber,harps,VIS,synthesis_fit,,,97.343,0.0968489071074604,"chi2 curvature at the minimum, rescaled to red_chi2==1 (RYA-847/848)",synth-1D-LTE-gerber,1D-LTE,8.063,in_aggregate,,
Fe,II,4583.829,2.807,-1.94,PRIMARY LAB DenHartog2019,ungraded,,8.56,-6.53,185.307,ABO packed sigma.alpha,HFS components in canonical_gf: 1,VIS,solar_harps_molecfit_corrected,DEEPGRADED,DEEPGRADED,SYNTH,synth-1D-LTE-gerber,harps,VIS,synthesis_fit,,,91.587,0.0782709162908717,"chi2 curvature at the minimum, rescaled to red_chi2==1 (RYA-847/848)",synth-1D-LTE-gerber,1D-LTE,7.44,in_aggregate,,
Fe,II,4233.162,2.583,-2.02,PRIMARY LAB DenHartog2019,ungraded,,8.56,-6.54,186.309,ABO packed sigma.alpha,HFS components in canonical_gf: 1,VIS,solar_harps_molecfit_corrected,REFERENCE,REFERENCE,SYNTH,1D-LTE,harps,VIS,synthesis_fit,,,122.616,0.0492997725815947,"chi2 curvature at the minimum, rescaled to red_chi2==1 (RYA-847/848)",1D-LTE,1D-LTE,7.619,in_aggregate,,
Fe,II,4351.762,2.704,-1.95,PRIMARY LAB DenHartog2019,ungraded,,8.56,-6.54,186.302,ABO packed sigma.alpha,HFS components in canonical_gf: 1,VIS,solar_harps_molecfit_corrected,REFERENCE,REFERENCE,SYNTH,1D-LTE,harps,VIS,synthesis_fit,,,96.542,0.1156583678309375,"chi2 curvature at the minimum, rescaled to red_chi2==1 (RYA-847/848)",1D-LTE,1D-LTE,7.197,in_aggregate,,
Fe,II,4385.377,2.778,-2.64,PRIMARY LAB DenHartog2019,ungraded,,8.56,-6.54,186.296,ABO packed sigma.alpha,HFS components in canonical_gf: 1,VIS,solar_harps_molecfit_corrected,REFERENCE,REFERENCE,SYNTH,1D-LTE,harps,VIS,synthesis_fit,,,167.871,0.0682876733550067,"chi2 curvature at the minimum, rescaled to red_chi2==1 (RYA-847/848)",1D-LTE,1D-LTE,8.59,in_aggregate,,
Fe,II,4416.819,2.778,-2.57,PRIMARY LAB DenHartog2019,ungraded,,8.56,-6.54,186.296,ABO packed sigma.alpha,HFS components in canonical_gf: 1,VIS,solar_harps_molecfit_corrected,REFERENCE,REFERENCE,SYNTH,1D-LTE,harps,VIS,synthesis_fit,,,65.47,0.0310913415950963,"chi2 curvature at the minimum, rescaled to red_chi2==1 (RYA-847/848)",1D-LTE,1D-LTE,7.92,in_aggregate,,
Fe,II,4508.28,2.856,-2.42,PRIMARY LAB DenHartog2019,ungraded,,8.56,-6.53,187.301,ABO packed sigma.alpha,HFS components in canonical_gf: 1,VIS,solar_harps_molecfit_corrected,REFERENCE,REFERENCE,SYNTH,1D-LTE,harps,VIS,synthesis_fit,,,66.6,0.0677821191202042,"chi2 curvature at the minimum, rescaled to red_chi2==1 (RYA-847/848)",1D-LTE,1D-LTE,7.897,in_aggregate,,
Fe,II,4522.628,2.844,-2.29,PRIMARY LAB DenHartog2019,ungraded,,8.56,-6.53,186.3,ABO packed sigma.alpha,HFS components in canonical_gf: 1,VIS,solar_harps_molecfit_corrected,REFERENCE,REFERENCE,SYNTH,1D-LTE,harps,VIS,synthesis_fit,,,89.709,0.1369099404049557,"chi2 curvature at the minimum, rescaled to red_chi2==1 (RYA-847/848)",1D-LTE,1D-LTE,8.366,in_aggregate,,
Fe,II,4549.466,2.828,-1.92,PRIMARY LAB DenHartog2019,ungraded,,8.56,-6.53,186.299,ABO packed sigma.alpha,HFS components in canonical_gf: 1,VIS,solar_harps_molecfit_corrected,REFERENCE,REFERENCE,SYNTH,1D-LTE,harps,VIS,synthesis_fit,,,97.358,0.0975855698962499,"chi2 curvature at the minimum, rescaled to red_chi2==1 (RYA-847/848)",1D-LTE,1D-LTE,8.079,in_aggregate,,
Fe,II,4583.829,2.807,-1.94,PRIMARY LAB DenHartog2019,ungraded,,8.56,-6.53,185.307,ABO packed sigma.alpha,HFS components in canonical_gf: 1,VIS,solar_harps_molecfit_corrected,REFERENCE,REFERENCE,SYNTH,1D-LTE,harps,VIS,synthesis_fit,,,92.651,0.0771484951549076,"chi2 curvature at the minimum, rescaled to red_chi2==1 (RYA-847/848)",1D-LTE,1D-LTE,7.446,in_aggregate,,
Fe,II,4233.162,2.583,-2.02,PRIMARY LAB DenHartog2019,ungraded,,8.56,-6.54,186.309,ABO packed sigma.alpha,HFS components in canonical_gf: 1,VIS,solar_harps_molecfit_corrected,REFERENCE,REFERENCE,SYNTH,ENGINE-A,harps,VIS,ew_integration,,,122.616,,"no chi2 surface on this route — EW inversion, see ew_mA for the measured quantity",ENGINE-A,1D-LTE,7.617,in_aggregate,,
Fe,II,4351.762,2.704,-1.95,PRIMARY LAB DenHartog2019,ungraded,,8.56,-6.54,186.302,ABO packed sigma.alpha,HFS components in canonical_gf: 1,VIS,solar_harps_molecfit_corrected,REFERENCE,REFERENCE,SYNTH,ENGINE-A,harps,VIS,ew_integration,,,96.542,,"no chi2 surface on this route — EW inversion, see ew_mA for the measured quantity",ENGINE-A,1D-LTE,,excluded,DERIVER_EXCLUDED,"ENGINE-A-NOT-SERVED: the registered source returns no usable delta_nlte for this line (absent, nan, or a placeholder zero). Reduced coverage, not a failed correction."
Fe,II,4385.377,2.778,-2.64,PRIMARY LAB DenHartog2019,ungraded,,8.56,-6.54,186.296,ABO packed sigma.alpha,HFS components in canonical_gf: 1,VIS,solar_harps_molecfit_corrected,REFERENCE,REFERENCE,SYNTH,ENGINE-A,harps,VIS,ew_integration,,,167.871,,"no chi2 surface on this route — EW inversion, see ew_mA for the measured quantity",ENGINE-A,1D-LTE,,excluded,DERIVER_EXCLUDED,"ENGINE-A-NOT-SERVED: the registered source returns no usable delta_nlte for this line (absent, nan, or a placeholder zero). Reduced coverage, not a failed correction."
Fe,II,4416.819,2.778,-2.57,PRIMARY LAB DenHartog2019,ungraded,,8.56,-6.54,186.296,ABO packed sigma.alpha,HFS components in canonical_gf: 1,VIS,solar_harps_molecfit_corrected,REFERENCE,REFERENCE,SYNTH,ENGINE-A,harps,VIS,ew_integration,,,65.47,,"no chi2 surface on this route — EW inversion, see ew_mA for the measured quantity",ENGINE-A,1D-LTE,,excluded,DERIVER_EXCLUDED,"ENGINE-A-NOT-SERVED: the registered source returns no usable delta_nlte for this line (absent, nan, or a placeholder zero). Reduced coverage, not a failed correction."
Fe,II,4508.28,2.856,-2.42,PRIMARY LAB DenHartog2019,ungraded,,8.56,-6.53,187.301,ABO packed sigma.alpha,HFS components in canonical_gf: 1,VIS,solar_harps_molecfit_corrected,REFERENCE,REFERENCE,SYNTH,ENGINE-A,harps,VIS,ew_integration,,,66.6,,"no chi2 surface on this route — EW inversion, see ew_mA for the measured quantity",ENGINE-A,1D-LTE,,excluded,DERIVER_EXCLUDED,"ENGINE-A-NOT-SERVED: the registered source returns no usable delta_nlte for this line (absent, nan, or a placeholder zero). Reduced coverage, not a failed correction."
Fe,II,4522.628,2.844,-2.29,PRIMARY LAB DenHartog2019,ungraded,,8.56,-6.53,186.3,ABO packed sigma.alpha,HFS components in canonical_gf: 1,VIS,solar_harps_molecfit_corrected,REFERENCE,REFERENCE,SYNTH,ENGINE-A,harps,VIS,ew_integration,,,89.709,,"no chi2 surface on this route — EW inversion, see ew_mA for the measured quantity",ENGINE-A,1D-LTE,,excluded,DERIVER_EXCLUDED,"ENGINE-A-NOT-SERVED: the registered source returns no usable delta_nlte for this line (absent, nan, or a placeholder zero). Reduced coverage, not a failed correction."
Fe,II,4549.466,2.828,-1.92,PRIMARY LAB DenHartog2019,ungraded,,8.56,-6.53,186.299,ABO packed sigma.alpha,HFS components in canonical_gf: 1,VIS,solar_harps_molecfit_corrected,REFERENCE,REFERENCE,SYNTH,ENGINE-A,harps,VIS,ew_integration,,,97.358,,"no chi2 surface on this route — EW inversion, see ew_mA for the measured quantity",ENGINE-A,1D-LTE,,excluded,DERIVER_EXCLUDED,"ENGINE-A-NOT-SERVED: the registered source returns no usable delta_nlte for this line (absent, nan, or a placeholder zero). Reduced coverage, not a failed correction."
Fe,II,4583.829,2.807,-1.94,PRIMARY LAB DenHartog2019,ungraded,,8.56,-6.53,185.307,ABO packed sigma.alpha,HFS components in canonical_gf: 1,VIS,solar_harps_molecfit_corrected,REFERENCE,REFERENCE,SYNTH,ENGINE-A,harps,VIS,ew_integration,,,92.651,,"no chi2 surface on this route — EW inversion, see ew_mA for the measured quantity",ENGINE-A,1D-LTE,7.444999999999999,in_aggregate,,
Fe,II,4233.162,2.583,-2.02,PRIMARY LAB DenHartog2019,ungraded,,8.56,-6.54,186.309,ABO packed sigma.alpha,HFS components in canonical_gf: 1,VIS,solar_harps_molecfit_corrected,REFERENCE,REFERENCE,SYNTH,synth-1D-LTE-gerber,harps,VIS,synthesis_fit,,,123.014,0.0566348658129711,"chi2 curvature at the minimum, rescaled to red_chi2==1 (RYA-847/848)",synth-1D-LTE-gerber,1D-LTE,7.641,in_aggregate,,
Fe,II,4351.762,2.704,-1.95,PRIMARY LAB DenHartog2019,ungraded,,8.56,-6.54,186.302,ABO packed sigma.alpha,HFS components in canonical_gf: 1,VIS,solar_harps_molecfit_corrected,REFERENCE,REFERENCE,SYNTH,synth-1D-LTE-gerber,harps,VIS,synthesis_fit,,,98.073,0.1127861884166918,"chi2 curvature at the minimum, rescaled to red_chi2==1 (RYA-847/848)",synth-1D-LTE-gerber,1D-LTE,7.2,in_aggregate,,
Fe,II,4385.377,2.778,-2.64,PRIMARY LAB DenHartog2019,ungraded,,8.56,-6.54,186.296,ABO packed sigma.alpha,HFS components in canonical_gf: 1,VIS,solar_harps_molecfit_corrected,REFERENCE,REFERENCE,SYNTH,synth-1D-LTE-gerber,harps,VIS,synthesis_fit,,,169.922,0.0689941101466405,"chi2 curvature at the minimum, rescaled to red_chi2==1 (RYA-847/848)",synth-1D-LTE-gerber,1D-LTE,8.64,in_aggregate,,
Fe,II,4416.819,2.778,-2.57,PRIMARY LAB DenHartog2019,ungraded,,8.56,-6.54,186.296,ABO packed sigma.alpha,HFS components in canonical_gf: 1,VIS,solar_harps_molecfit_corrected,REFERENCE,REFERENCE,SYNTH,synth-1D-LTE-gerber,harps,VIS,synthesis_fit,,,68.332,0.0585534911600166,"chi2 curvature at the minimum, rescaled to red_chi2==1 (RYA-847/848)",synth-1D-LTE-gerber,1D-LTE,7.961,in_aggregate,,
Fe,II,4508.28,2.856,-2.42,PRIMARY LAB DenHartog2019,ungraded,,8.56,-6.53,187.301,ABO packed sigma.alpha,HFS components in canonical_gf: 1,VIS,solar_harps_molecfit_corrected,REFERENCE,REFERENCE,SYNTH,synth-1D-LTE-gerber,harps,VIS,synthesis_fit,,,66.798,0.0684665223579693,"chi2 curvature at the minimum, rescaled to red_chi2==1 (RYA-847/848)",synth-1D-LTE-gerber,1D-LTE,7.89,in_aggregate,,
Fe,II,4522.628,2.844,-2.29,PRIMARY LAB DenHartog2019,ungraded,,8.56,-6.53,186.3,ABO packed sigma.alpha,HFS components in canonical_gf: 1,VIS,solar_harps_molecfit_corrected,REFERENCE,REFERENCE,SYNTH,synth-1D-LTE-gerber,harps,VIS,synthesis_fit,,,90.002,0.1325969849446371,"chi2 curvature at the minimum, rescaled to red_chi2==1 (RYA-847/848)",synth-1D-LTE-gerber,1D-LTE,8.367,in_aggregate,,
Fe,II,4549.466,2.828,-1.92,PRIMARY LAB DenHartog2019,ungraded,,8.56,-6.53,186.299,ABO packed sigma.alpha,HFS components in canonical_gf: 1,VIS,solar_harps_molecfit_corrected,REFERENCE,REFERENCE,SYNTH,synth-1D-LTE-gerber,harps,VIS,synthesis_fit,,,97.343,0.0968489071074604,"chi2 curvature at the minimum, rescaled to red_chi2==1 (RYA-847/848)",synth-1D-LTE-gerber,1D-LTE,8.063,in_aggregate,,
Fe,II,4583.829,2.807,-1.94,PRIMARY LAB DenHartog2019,ungraded,,8.56,-6.53,185.307,ABO packed sigma.alpha,HFS components in canonical_gf: 1,VIS,solar_harps_molecfit_corrected,REFERENCE,REFERENCE,SYNTH,synth-1D-LTE-gerber,harps,VIS,synthesis_fit,,,91.587,0.0782709162908717,"chi2 curvature at the minimum, rescaled to red_chi2==1 (RYA-847/848)",synth-1D-LTE-gerber,1D-LTE,7.44,in_aggregate,,
Fe,II,4233.162,2.583,-2.02,PRIMARY LAB DenHartog2019,ungraded,,8.56,-6.54,186.309,ABO packed sigma.alpha,HFS components in canonical_gf: 1,VIS,solar_kpno_kurucz2005_corrected,DEEPGRADED,DEEPGRADED,SYNTH,1D-LTE,kpno_solar_atlas,VIS,synthesis_fit,,,96.71,0.0447118968621422,"chi2 curvature at the minimum, rescaled to red_chi2==1 (RYA-847/848)",1D-LTE,1D-LTE,7.465,in_aggregate,,
Fe,II,4351.762,2.704,-1.95,PRIMARY LAB DenHartog2019,ungraded,,8.56,-6.54,186.302,ABO packed sigma.alpha,HFS components in canonical_gf: 1,VIS,solar_kpno_kurucz2005_corrected,DEEPGRADED,DEEPGRADED,SYNTH,1D-LTE,kpno_solar_atlas,VIS,synthesis_fit,,,63.349,0.0953721932180263,"chi2 curvature at the minimum, rescaled to red_chi2==1 (RYA-847/848)",1D-LTE,1D-LTE,7.062,in_aggregate,,
